Book_Series,Author,Original_Language,No_of_Installments,Years_of_Publication,Approximate_Sales,Genre_1,Genre_2
Doc Savage,Lester Dent, various authors,English,203,1933–present,20 million[309]
涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[310]
一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),Tomiyasu Takahara, Various authors,Japanese,95,1975-1980,19 million[311]
科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–present,19 million[312]
剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[313]
Erast Fandorin series,Boris Akunin,Russian,12,1998–present,18 million[314]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[315]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[316]
The Hitchhiker's Guide to the Galaxy,Douglas Adams, plus a final book by Eoin Colfer,English,6,1979–2008,16 million[317][318]
ぼくらシリーズ [ja] (Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[319]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[320]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[321]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[322]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[323]
Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[324]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[325]
The Thrawn trilogy,Timothy Zahn,English,3,1991–93,15 million[326]
Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[327]
14ひきのシリーズ [ja] (The family of fourteen),Kazuo Iwamura [ja],Japanese,,1983–present,15 million[328]
